,Unnamed: 0,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Overall Crime
0,5,Aliso Viejo,32.0,0.0,5.0,,3.0,24.0,363.0,53.0,276.0,34.0,1.0,796.0
1,8,Anaheim,1271.0,18.0,129.0,,439.0,685.0,10038.0,1476.0,6893.0,1669.0,28.0,22654.0
2,44,Brea,80.0,0.0,2.0,,31.0,47.0,1257.0,153.0,1035.0,69.0,2.0,2720.0
3,49,Buena Park,237.0,1.0,19.0,,67.0,150.0,2549.0,332.0,1831.0,386.0,5.0,5626.0
4,93,Costa Mesa,386.0,1.0,53.0,,122.0,210.0,4723.0,698.0,3558.0,467.0,18.0,10329.0
5,100,Cypress,56.0,0.0,3.0,,23.0,30.0,889.0,146.0,646.0,97.0,4.0,1994.0
6,102,Dana Point,57.0,0.0,9.0,,12.0,36.0,589.0,120.0,417.0,52.0,1.0,1395.0
7,145,Fountain Valley,66.0,1.0,2.0,,24.0,39.0,1517.0,268.0,1120.0,129.0,1.0,3312.0
8,149,Fullerton,389.0,0.0,66.0,,110.0,213.0,3893.0,468.0,2958.0,467.0,15.0,8728.0
9,152,Garden Grove,504.0,4.0,41.0,,155.0,304.0,4433.0,885.0,2899.0,649.0,25.0,10051.0
10,180,Huntington Beach,420.0,0.0,52.0,,117.0,251.0,4942.0,723.0,3846.0,373.0,23.0,10927.0
11,190,Irvine,144.0,2.0,27.0,,57.0,58.0,3868.0,523.0,3144.0,201.0,8.0,8222.0
12,201,Laguna Beach,76.0,0.0,8.0,,12.0,56.0,558.0,78.0,420.0,60.0,3.0,1472.0
13,202,Laguna Hills,43.0,0.0,8.0,,13.0,22.0,522.0,80.0,396.0,46.0,1.0,1333.0
14,203,Laguna Niguel,49.0,2.0,6.0,,12.0,29.0,691.0,113.0,529.0,49.0,1.0,1684.0
15,204,Laguna Woods,5.0,0.0,0.0,,2.0,3.0,141.0,17.0,117.0,7.0,0.0,496.0
16,205,La Habra,104.0,0.0,7.0,,37.0,60.0,1279.0,189.0,928.0,162.0,3.0,2974.0
17,208,Lake Forest,109.0,0.0,15.0,,23.0,71.0,908.0,134.0,684.0,90.0,2.0,2244.0
18,215,La Palma,13.0,0.0,0.0,,7.0,6.0,304.0,113.0,170.0,21.0,0.0,849.0
19,230,Los Alamitos,18.0,1.0,3.0,,10.0,4.0,224.0,52.0,121.0,51.0,2.0,716.0
20,253,Mission Viejo,86.0,1.0,14.0,,32.0,39.0,1090.0,155.0,859.0,76.0,7.0,2612.0
21,276,Newport Beach,112.0,2.0,20.0,,24.0,66.0,2181.0,394.0,1652.0,135.0,4.0,4866.0
22,286,Orange,172.0,7.0,11.0,,62.0,92.0,2897.0,525.0,2016.0,356.0,8.0,6432.0
23,312,Placentia,76.0,0.0,5.0,,17.0,54.0,746.0,132.0,518.0,96.0,1.0,1957.0
24,324,Rancho Santa Margarita,44.0,0.0,8.0,,9.0,27.0,303.0,45.0,249.0,9.0,1.0,1019.0
25,349,San Clemente,79.0,1.0,19.0,,16.0,43.0,771.0,163.0,534.0,74.0,7.0,2056.0
26,359,San Juan Capistrano,66.0,0.0,12.0,,15.0,39.0,429.0,94.0,282.0,53.0,1.0,1350.0
27,368,Santa Ana,1626.0,12.0,154.0,,523.0,937.0,7270.0,909.0,4494.0,1867.0,37.0,18197.0
28,382,Seal Beach,24.0,0.0,1.0,,5.0,18.0,594.0,80.0,478.0,36.0,0.0,1618.0
29,401,Stanton,152.0,0.0,14.0,,60.0,78.0,770.0,130.0,457.0,183.0,2.0,2247.0
30,420,Tustin,130.0,1.0,10.0,,38.0,81.0,1715.0,217.0,1344.0,154.0,5.0,4115.0
31,430,Villa Park,1.0,0.0,0.0,,1.0,0.0,83.0,34.0,47.0,2.0,0.0,598.0
32,441,Westminster,303.0,1.0,22.0,,118.0,162.0,2950.0,502.0,2123.0,325.0,6.0,6953.0
33,454,Yorba Linda,39.0,0.0,7.0,,7.0,25.0,650.0,152.0,463.0,35.0,1.0,1833.0
